Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Label
0,828,454,826,0,918,1
0,828,475,830,0,917,1
0,864,349,843,0,904,1
0,859,398,851,0,909,1
0,872,411,856,0,904,1
0,865,373,859,0,907,1
0,858,496,855,0,912,1
0,862,424,858,0,913,1
0,869,487,854,0,911,1
0,846,480,856,0,918,1
0,849,482,854,0,919,1
0,854,493,855,0,919,1
0,823,422,856,0,917,1
0,850,414,862,0,915,1
0,839,431,852,0,920,1
0,845,433,851,0,920,1
0,838,436,854,0,919,1
0,830,415,856,0,919,1
0,844,422,856,0,918,1
0,835,439,859,0,920,1
0,370,342,729,0,459,1
0,344,252,611,0,413,1
0,379,357,685,0,384,1
0,395,327,640,0,360,1
0,347,316,659,0,416,1
0,367,315,685,0,421,1
0,316,305,689,0,422,1
0,347,330,697,0,369,1
0,346,372,707,0,391,1
0,351,365,714,0,423,1
0,432,371,683,0,420,1
0,379,371,699,0,458,1
0,330,366,695,0,443,1
0,357,368,700,0,448,1
0,335,394,675,0,452,1
0,329,365,673,0,476,1
0,343,365,681,0,465,1
0,348,346,610,0,423,1
0,379,342,597,0,397,1
0,395,339,634,0,398,1
0,368,378,650,0,432,1
0,395,343,624,1,418,1
0,401,344,622,0,411,1
0,402,343,633,0,440,1
0,407,340,639,0,441,1
0,421,345,641,0,463,1
0,452,337,650,0,458,1
0,474,340,642,0,469,1
0,460,342,659,0,473,1
0,468,338,669,0,486,1
0,472,336,673,0,490,1
0,485,340,669,0,496,1
0,460,341,673,0,495,1
0,450,343,672,0,508,1
0,479,354,672,0,511,1
